Hour,Month,Probability,S.E.,z,p-value,lower,upper,location,outcome
1,1,0.0147726,0.0020321,7.27,0,0.0107897,0.0187555,1,1
1,2,0.0708348,0.0070687,10.02,0,0.0569804,0.0846891,1,1
1,3,0.0792453,0.0076739,10.33,0,0.0642049,0.0942858,1,1
1,4,0.1814683,0.0141304,12.84,0,0.1537732,0.2091634,1,1
1,5,0.0900838,0.0080044,11.25,0,0.0743954,0.1057722,1,1
2,1,0.0153462,0.0020939,7.33,0,0.0112422,0.0194502,1,1
2,2,0.0721319,0.0071213,10.13,0,0.0581744,0.0860894,1,1
2,3,0.0805266,0.0077238,10.43,0,0.0653883,0.0956649,1,1
2,4,0.1845007,0.0141818,13.01,0,0.1567048,0.2122965,1,1
2,5,0.0916923,0.0080539,11.38,0,0.075907,0.1074775,1,1
3,1,0.0187468,0.0024863,7.54,0,0.0138737,0.0236199,1,1
3,2,0.084233,0.0078479,10.73,0,0.0688514,0.0996145,1,1
3,3,0.0934695,0.0084479,11.06,0,0.076912,0.1100271,1,1
3,4,0.2114088,0.0148869,14.2,0,0.182231,0.2405865,1,1
3,5,0.1066142,0.0087454,12.19,0,0.0894736,0.1237548,1,1
4,1,0.0192892,0.0025549,7.55,0,0.0142817,0.0242968,1,1
4,2,0.0863821,0.0080207,10.77,0,0.0706619,0.1021023,1,1
4,3,0.0958452,0.0086209,11.12,0,0.0789486,0.1127419,1,1
4,4,0.2160425,0.0151099,14.3,0,0.1864277,0.2456574,1,1
4,5,0.1092893,0.0089345,12.23,0,0.091778,0.1268005,1,1
5,1,0.0193088,0.0025654,7.53,0,0.0142807,0.0243368,1,1
5,2,0.0863982,0.0081104,10.65,0,0.0705021,0.1022943,1,1
5,3,0.0957971,0.0086856,11.03,0,0.0787737,0.1128205,1,1
5,4,0.2160905,0.0152677,14.15,0,0.1861664,0.2460146,1,1
5,5,0.109262,0.0090086,12.13,0,0.0916055,0.1269184,1,1
6,1,0.0135326,0.0018595,7.28,0,0.009888,0.0171772,1,1
6,2,0.0664043,0.006533,10.16,0,0.0535998,0.0792088,1,1
6,3,0.0744914,0.0071599,10.4,0,0.0604582,0.0885245,1,1
6,4,0.171272,0.0134811,12.7,0,0.1448496,0.1976944,1,1
6,5,0.0845575,0.0075392,11.22,0,0.069781,0.0993341,1,1
7,1,0.0084427,0.0013032,6.48,0,0.0058884,0.0109969,1,1
7,2,0.0486848,0.0058554,8.31,0,0.0372085,0.0601612,1,1
7,3,0.0559574,0.006584,8.5,0,0.043053,0.0688619,1,1
7,4,0.1286692,0.0130126,9.89,0,0.103165,0.1541734,1,1
7,5,0.0625196,0.0069126,9.04,0,0.0489711,0.0760681,1,1
8,1,0.0050552,0.0008689,5.82,0,0.0033522,0.0067581,1,1
8,2,0.0324827,0.0045872,7.08,0,0.023492,0.0414735,1,1
8,3,0.0378899,0.0052498,7.22,0,0.0276005,0.0481793,1,1
8,4,0.087945,0.0109661,8.02,0,0.0664519,0.1094381,1,1
8,5,0.0418953,0.0055628,7.53,0,0.0309924,0.0527982,1,1
9,1,0.0046861,0.0008104,5.78,0,0.0030977,0.0062746,1,1
9,2,0.0303549,0.0043119,7.04,0,0.0219037,0.038806,1,1
9,3,0.035282,0.0049234,7.17,0,0.0256324,0.0449316,1,1
9,4,0.0825048,0.0104066,7.93,0,0.0621082,0.1029015,1,1
9,5,0.0390584,0.0052346,7.46,0,0.0287987,0.0493181,1,1
10,1,0.0070281,0.0011341,6.2,0,0.0048053,0.009251,1,1
10,2,0.0419678,0.0053632,7.83,0,0.0314561,0.0524796,1,1
10,3,0.0482344,0.006026,8,0,0.0364238,0.0600451,1,1
10,4,0.1121531,0.0123057,9.11,0,0.0880344,0.1362718,1,1
10,5,0.0538657,0.0064247,8.38,0,0.0412735,0.0664579,1,1
11,1,0.0216533,0.002862,7.57,0,0.0160439,0.0272627,1,1
11,2,0.1113119,0.0099378,11.2,0,0.0918342,0.1307895,1,1
11,3,0.1252841,0.010732,11.67,0,0.1042498,0.1463184,1,1
11,4,0.2661654,0.0170396,15.62,0,0.2327684,0.2995623,1,1
11,5,0.1400092,0.0108663,12.88,0,0.1187115,0.1613068,1,1
12,1,0.0435359,0.0052429,8.3,0,0.0332599,0.0538118,1,1
12,2,0.1868551,0.0137614,13.58,0,0.1598832,0.2138269,1,1
12,3,0.2059086,0.014425,14.27,0,0.177636,0.2341811,1,1
12,4,0.4006541,0.0184652,21.7,0,0.3644629,0.4368452,1,1
12,5,0.2298966,0.0140722,16.34,0,0.2023156,0.2574776,1,1
13,1,0.0555509,0.0064761,8.58,0,0.0428579,0.0682439,1,1
13,2,0.2144759,0.0147496,14.54,0,0.1855671,0.2433846,1,1
13,3,0.2336265,0.0152793,15.29,0,0.2036796,0.2635735,1,1
13,4,0.4434894,0.0182482,24.3,0,0.4077236,0.4792553,1,1
13,5,0.2615531,0.0147606,17.72,0,0.2326228,0.2904834,1,1
14,1,0.0711789,0.0080387,8.85,0,0.0554232,0.0869345,1,1
14,2,0.2585451,0.0165208,15.65,0,0.226165,0.2909252,1,1
14,3,0.2798327,0.0168521,16.61,0,0.2468031,0.3128623,1,1
14,4,0.5045794,0.0180739,27.92,0,0.4691553,0.5400035,1,1
14,5,0.311457,0.0159416,19.54,0,0.2802121,0.3427019,1,1
15,1,0.0815561,0.0090019,9.06,0,0.0639126,0.0991995,1,1
15,2,0.2836578,0.0172231,16.47,0,0.2499011,0.3174145,1,1
15,3,0.3056176,0.0173392,17.63,0,0.2716334,0.3396018,1,1
15,4,0.5364974,0.0175832,30.51,0,0.502035,0.5709599,1,1
15,5,0.3392628,0.0163386,20.76,0,0.3072397,0.3712858,1,1
16,1,0.0770643,0.0085844,8.98,0,0.0602393,0.0938893,1,1
16,2,0.2666696,0.0165843,16.08,0,0.2341649,0.2991743,1,1
16,3,0.287185,0.016851,17.04,0,0.2541577,0.3202123,1,1
16,4,0.5154864,0.0176551,29.2,0,0.4808831,0.5500897,1,1
16,5,0.3202829,0.0159314,20.1,0,0.2890579,0.3515079,1,1
17,1,0.0714622,0.0080005,8.93,0,0.0557816,0.0871429,1,1
17,2,0.2491966,0.0158418,15.73,0,0.2181473,0.280246,1,1
17,3,0.2686154,0.0160424,16.74,0,0.237173,0.3000579,1,1
17,4,0.4927548,0.0175137,28.14,0,0.4584286,0.527081,1,1
17,5,0.3006869,0.0152634,19.7,0,0.2707713,0.3306025,1,1
18,1,0.0547182,0.0063543,8.61,0,0.0422639,0.0671725,1,1
18,2,0.198639,0.0138627,14.33,0,0.1714687,0.2258094,1,1
18,3,0.2150772,0.0142131,15.13,0,0.1872199,0.2429344,1,1
18,4,0.4205218,0.0177725,23.66,0,0.3856883,0.4553553,1,1
18,5,0.2430175,0.0138622,17.53,0,0.2158481,0.2701869,1,1
19,1,0.0322268,0.0040054,8.05,0,0.0243764,0.0400772,1,1
19,2,0.130269,0.0106265,12.26,0,0.1094415,0.1510966,1,1
19,3,0.142874,0.0112173,12.74,0,0.1208885,0.1648595,1,1
19,4,0.304431,0.0170493,17.86,0,0.2710149,0.3378471,1,1
19,5,0.1626734,0.0113268,14.36,0,0.1404734,0.1848735,1,1
20,1,0.0199953,0.0026444,7.56,0,0.0148123,0.0251783,1,1
20,2,0.09009,0.0083595,10.78,0,0.0737057,0.1064743,1,1
20,3,0.1001507,0.0089657,11.17,0,0.0825782,0.1177232,1,1
20,4,0.223868,0.0154855,14.46,0,0.193517,0.2542189,1,1
20,5,0.1139749,0.0092838,12.28,0,0.0957789,0.1321709,1,1
21,1,0.0187056,0.002481,7.54,0,0.0138429,0.0235684,1,1
21,2,0.0880164,0.0081782,10.76,0,0.0719873,0.1040454,1,1
21,3,0.0983894,0.0088091,11.17,0,0.0811239,0.1156549,1,1
21,4,0.2191544,0.0152119,14.41,0,0.1893396,0.2489693,1,1
21,5,0.1115094,0.0091011,12.25,0,0.0936716,0.1293473,1,1
22,1,0.0161402,0.0021725,7.43,0,0.0118822,0.0203982,1,1
22,2,0.0788535,0.0075237,10.48,0,0.0641073,0.0935998,1,1
22,3,0.0885287,0.0081628,10.85,0,0.0725299,0.1045275,1,1
22,4,0.1991297,0.0145252,13.71,0,0.1706608,0.2275985,1,1
22,5,0.1001782,0.0084784,11.82,0,0.0835608,0.1167955,1,1
23,1,0.0165003,0.0022211,7.43,0,0.0121471,0.0208535,1,1
23,2,0.0793488,0.0075907,10.45,0,0.0644712,0.0942264,1,1
23,3,0.0888456,0.0082141,10.82,0,0.0727463,0.1049449,1,1
23,4,0.2003309,0.0146545,13.67,0,0.1716087,0.2290531,1,1
23,5,0.1007202,0.0085323,11.8,0,0.0839972,0.1174432,1,1
24,1,0.0146989,0.0020086,7.32,0,0.0107621,0.0186358,1,1
24,2,0.0696856,0.0068963,10.1,0,0.0561692,0.0832021,1,1
24,3,0.0778818,0.0074672,10.43,0,0.0632464,0.0925172,1,1
24,4,0.178946,0.0138313,12.94,0,0.1518371,0.2060549,1,1
24,5,0.088664,0.0078162,11.34,0,0.0733445,0.1039834,1,1
1,1,0.0337658,0.004481,7.54,0,0.0249832,0.0425483,2,1
1,2,0.1614023,0.0142457,11.33,0,0.1334812,0.1893233,2,1
1,3,0.1804788,0.0144922,12.45,0,0.1520747,0.2088829,2,1
1,4,0.3580269,0.0229381,15.61,0,0.3130691,0.4029847,2,1
1,5,0.2004525,0.0151604,13.22,0,0.1707386,0.2301665,2,1
2,1,0.0352353,0.0046325,7.61,0,0.0261558,0.0443147,2,1
2,2,0.1643348,0.014325,11.47,0,0.1362584,0.1924112,2,1
2,3,0.1832773,0.0145425,12.6,0,0.1547745,0.2117801,2,1
2,4,0.3631934,0.0229093,15.85,0,0.3182919,0.4080949,2,1
2,5,0.2038948,0.0152101,13.41,0,0.1740836,0.233706,2,1
3,1,0.043362,0.0055053,7.88,0,0.0325718,0.0541523,2,1
3,2,0.1896028,0.0152935,12.4,0,0.1596281,0.2195775,2,1
3,3,0.2096241,0.0152694,13.73,0,0.1796967,0.2395515,2,1
3,4,0.4047017,0.0227275,17.81,0,0.3601567,0.4492467,2,1
3,5,0.233324,0.0158558,14.72,0,0.2022473,0.2644008,2,1
4,1,0.0445525,0.0056508,7.88,0,0.0334771,0.0556279,2,1
4,2,0.1938012,0.0155606,12.45,0,0.1633031,0.2242993,2,1
4,3,0.2141994,0.0155038,13.82,0,0.1838127,0.2445862,2,1
4,4,0.411249,0.0228659,17.99,0,0.3664327,0.4560654,2,1
4,5,0.2382597,0.0161149,14.79,0,0.206675,0.2698444,2,1
5,1,0.0447115,0.0056874,7.86,0,0.0335644,0.0558585,2,1
5,2,0.1940313,0.0157513,12.32,0,0.1631594,0.2249032,2,1
5,3,0.2142588,0.0156486,13.69,0,0.1835881,0.2449295,2,1
5,4,0.4116418,0.0230801,17.84,0,0.3664057,0.4568779,2,1
5,5,0.2384143,0.0162667,14.66,0,0.2065321,0.2702965,2,1
6,1,0.0309047,0.00411,7.52,0,0.0228492,0.0389602,2,1
6,2,0.151973,0.0133421,11.39,0,0.1258231,0.178123,2,1
6,3,0.1705755,0.0137125,12.44,0,0.1436995,0.1974514,2,1
6,4,0.3415581,0.0224871,15.19,0,0.2974843,0.385632,2,1
6,5,0.1892643,0.0145289,13.03,0,0.1607882,0.2177404,2,1
7,1,0.0186428,0.0028156,6.62,0,0.0131244,0.0241613,2,1
7,2,0.1117984,0.012384,9.03,0,0.0875262,0.1360706,2,1
7,3,0.1295279,0.0133822,9.68,0,0.1032994,0.1557565,2,1
7,4,0.2653937,0.0233951,11.34,0,0.2195402,0.3112472,2,1
7,5,0.141455,0.0140246,10.09,0,0.1139673,0.1689428,2,1
8,1,0.0110666,0.0018719,5.91,0,0.0073977,0.0147356,2,1
8,2,0.075579,0.0100877,7.49,0,0.0558074,0.0953505,2,1
8,3,0.0893575,0.0112916,7.91,0,0.0672264,0.1114887,2,1
8,4,0.1892525,0.0214751,8.81,0,0.1471621,0.231343,2,1
8,5,0.0966511,0.0119066,8.12,0,0.0733146,0.1199875,2,1
9,1,0.0103311,0.001758,5.88,0,0.0068855,0.0137767,2,1
9,2,0.071294,0.0095833,7.44,0,0.0525111,0.090077,2,1
9,3,0.0839311,0.0107064,7.84,0,0.0629468,0.1049153,2,1
9,4,0.1798348,0.0207252,8.68,0,0.1392142,0.2204553,2,1
9,5,0.090978,0.0113377,8.02,0,0.0687565,0.1131995,2,1
10,1,0.0154765,0.0024535,6.31,0,0.0106677,0.0202854,2,1
10,2,0.0976219,0.0115782,8.43,0,0.074929,0.1203148,2,1
10,3,0.1131846,0.0125749,9,0,0.0885383,0.1378308,2,1
10,4,0.2368465,0.0229441,10.32,0,0.1918769,0.281816,2,1
10,5,0.1237028,0.0133786,9.25,0,0.0974814,0.1499243,2,1
11,1,0.0474937,0.0060361,7.87,0,0.0356632,0.0593242,2,1
11,2,0.2380224,0.0177861,13.38,0,0.2031624,0.2728825,2,1
11,3,0.2664884,0.0176,15.14,0,0.231993,0.3009839,2,1
11,4,0.4738286,0.022982,20.62,0,0.4287846,0.5188726,2,1
11,5,0.2895285,0.0178534,16.22,0,0.2545364,0.3245205,2,1
12,1,0.0957267,0.0107371,8.92,0,0.0746823,0.1167711,2,1
12,2,0.3671477,0.0206444,17.78,0,0.3266854,0.4076101,2,1
12,3,0.3988526,0.0192911,20.68,0,0.3610427,0.4366625,2,1
12,4,0.6270982,0.0195237,32.12,0,0.5888325,0.6653639,2,1
12,5,0.430531,0.0187968,22.9,0,0.39369,0.467372,2,1
13,1,0.123408,0.0131178,9.41,0,0.0976977,0.1491184,2,1
13,2,0.4107596,0.0207704,19.78,0,0.3700503,0.4514689,2,1
13,3,0.4401456,0.0190593,23.09,0,0.4027899,0.4775012,2,1
13,4,0.6698738,0.0178805,37.46,0,0.6348287,0.7049188,2,1
13,5,0.4754773,0.0183462,25.92,0,0.4395195,0.5114352,2,1
14,1,0.1557218,0.0157132,9.91,0,0.1249244,0.1865191,2,1
14,2,0.471425,0.0211134,22.33,0,0.4300435,0.5128065,2,1
14,3,0.5008255,0.0189502,26.43,0,0.4636837,0.5379672,2,1
14,4,0.7221005,0.0159928,45.15,0,0.6907551,0.7534459,2,1
14,5,0.536968,0.0178423,30.1,0,0.5019978,0.5719382,2,1
15,1,0.1771584,0.0172228,10.29,0,0.1434024,0.2109144,2,1
15,2,0.5038908,0.0208695,24.14,0,0.4629873,0.5447943,2,1
15,3,0.5324188,0.018398,28.94,0,0.4963593,0.5684783,2,1
15,4,0.7476099,0.0148075,50.49,0,0.7185878,0.7766321,2,1
15,5,0.5689384,0.0172882,32.91,0,0.5350542,0.6028226,2,1
